305,305,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
305,305,305,305,306,305,306,306,306,306,306,305,305,305,305,305,305,305,305,305,305,305,305,306,306
305,305,305,305,306,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,306
305,305,305,305,306,305,306,305,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
305,305,306,305,306,305,306,305,306,305,305,306,306,306,306,306,306,306,306,306,305,305,305,306,306
305,305,306,305,306,305,305,305,305,306,305,305,306,306,306,306,306,306,305,306,306,306,306,306,306
305,305,306,305,306,305,306,305,305,305,305,306,306,305,305,305,305,305,305,305,305,305,305,306,306
305,305,306,305,305,306,305,306,306,305,305,305,305,305,306,305,305,306,305,306,305,305,305,305,306
305,305,306,305,305,306,306,305,305,306,306,306,306,306,306,306,306,306,305,306,305,305,306,305,306
305,305,305,305,305,306,305,305,305,306,305,306,305,306,305,306,305,306,305,306,305,305,306,305,306
305,306,305,306,305,306,305,306,305,306,306,306,305,306,305,306,305,306,305,306,305,305,306,305,306
305,306,305,306,305,306,305,305,306,306,306,306,306,306,305,306,306,306,305,306,305,305,306,305,306
305,306,305,305,305,306,305,306,305,306,306,306,306,306,305,305,306,306,305,306,305,306,306,305,306
305,306,305,305,305,306,305,306,305,306,305,306,306,306,305,305,306,306,305,306,305,306,306,305,306
305,306,305,305,306,305,305,306,305,305,306,306,306,306,305,305,306,306,305,306,305,306,306,305,306
306,305,305,305,305,306,305,306,305,305,306,305,306,306,306,305,306,306,305,306,305,306,306,305,306
306,305,305,306,305,306,305,306,305,305,306,305,306,305,306,305,306,306,305,306,305,306,306,305,306
306,305,305,306,305,306,305,306,305,305,306,305,306,305,306,305,306,306,305,306,305,306,306,305,306
305,305,305,306,305,306,305,306,305,306,306,305,306,306,305,305,306,306,305,306,305,306,306,305,306
305,305,306,305,305,306,305,305,306,306,305,306,305,306,305,305,306,306,305,306,305,306,306,306,306
305,305,306,305,305,305,306,305,306,306,305,306,305,306,305,305,306,306,305,306,305,306,305,306,306
305,305,306,305,306,305,306,306,305,305,305,305,306,306,305,305,306,305,306,306,305,306,306,305,306
305,305,306,305,306,305,306,306,305,305,306,306,306,306,305,305,306,305,305,306,305,306,306,306,306
305,305,306,305,306,305,305,306,305,306,306,306,306,306,306,305,306,305,306,306,305,306,305,306,306
305,305,306,305,306,305,305,305,305,305,305,305,305,305,306,305,306,306,306,306,306,306,305,306,306
305,305,306,305,306,306,306,306,306,306,306,306,306,305,305,305,306,305,306,306,306,306,305,306,306
305,305,305,305,305,306,306,305,305,305,305,305,305,305,306,306,306,306,306,306,305,305,305,306,306
